Event Title,Date,Heure,Venue Name,Price,Event Link,Location,Artists,Genres,Organizer
Please update your app,2023-01-01,00:00 à 00:00,Non mentionné,,https://shotgun.live/events/please-update-your-app,Lieu secret,,,SHOTGUN
Christmas Rock,2023-12-22,00:00,Atomic Cat,"2,99 €",https://shotgun.live/events/christmas-rock,"6 Pass. Thiéré, 75011 Paris, France",,"rock, pop rock, metal, industrial metal",atomic cat
COLISEUM - THE BURNING LANDS,2023-12-23,23:00 à 07:00,Nexus,"16,99 €",https://shotgun.live/events/coliseum-the-burning-lands,"100 Av. du Général Leclerc, 93500 Pantin, France","Darktek, Teksa, A5KM, La Kajofol, Sasio, Rawcket, Flodzi","hardcore, hardtek, acidcore, hardstyle, hard techno, techno",Amnexia
LA + GROSSE SOIREE HIP HOP DE FRANCE START GAME EPISODE 11,2023-12-23,23:30 à 06:00,Bridge Club,"10,99 €",https://shotgun.live/events/la-grosse-soiree-hip-hop-de-france-start-game-episode-11,"3 Port des Champs-Élysées, 75008 Paris, France",,,BK PRODUCTIONS
Kolasi Podcast Club with Isaac Gueye,2023-12-23,23:30 à 04:00,Non mentionné,"35,00 €",https://shotgun.live/events/kolasi-podcast-club-with-isaac-gueye,"25 Rue Jean Giraudoux, 75116 Paris, France",Isaac Gueye,"melodic house & techno, techno, deep house",Kolasi
La Dancing # Samedi 23 Dec,2023-12-23,23:55 à 06:00,Les Étoiles,"12,99 €",https://shotgun.live/events/la-dancing-samedi-23-dec,"61 Rue du Château d'Eau, 75010 Paris, France","David Stepanoff, Marc  Ryan, Sam Karlson","electro, hip hop, r&b, pop, dance, house",Etoiles
Level Paris From Paris 23 décembre,2023-12-23,00:30,Non mentionné,"15,99 €",https://shotgun.live/events/level-paris-from-paris-23-decembre,"49 Rue de Ponthieu, 75008 Paris, France",,,Level Paris
BETTER WORK BITCH spécial Noël at WorkshoW,2023-12-23,18:00 à 02:00,WorkshoW PARIS,Gratuit,https://shotgun.live/events/better-work-bitch-special-noel-at-worksho-w,"173 Rue Saint-Martin, 75003 Paris, France",,"pop, dance, house, disco",Workshow
DécaDance spécial Noël at WorkshoW,2023-12-23,18:00 à 02:00,WorkshoW PARIS,Gratuit,https://shotgun.live/events/deca-dance-special-noel-at-worksho-w,"173 Rue Saint-Martin, 75003 Paris, France",,"pop, disco, dance",Workshow
PANIC CLUB,2023-12-23,19:00 à 05:00,Panic Room,Gratuit,https://shotgun.live/events/panic-club,"101 Rue Amelot, 75011 Paris, France","Sonia Michigan / Psukha, Tout Feu Tout Femme, Random, Mycelium Shroom Syndicate, Luz del Fuego, Break A Leg","house, techno",Panic Room
SATURDAY LIVE FEVER 23/12,2023-12-23,20:00 à 04:00,Non mentionné,"26,25 €",https://shotgun.live/events/saturday-live-fever-23-12,"32 Rue de Tilsitt, 75017 Paris, France",Drey Key,"dance, deep house, disco",onlyonlive
